date,timestamp,block,address,dailyChg,ending balance
Dec-13-2022 12:00:11 AM +07 UTC,1670864411,16169971,0x742d35cc6634c0532925a3b844bc454e4438f44e,0,698938835780619607971817
Dec-13-2022 12:00:11 AM +07 UTC,1670864411,16169971,0xc94770007dda54cF92009BFF0dE90c06F603a09f,0,136500000000000
Dec-14-2022 12:00:11 AM +07 UTC,1670950811,16177124,0xddbd2b932c763ba5b1b7ae3b362eac3e8d40121a,0,40891626854930000000999
Dec-14-2022 12:00:11 AM +07 UTC,1670950811,16177124,0x742d35cc6634c0532925a3b844bc454e4438f44e,-40000001050000000000000,658938834730619607971817
Dec-14-2022 12:00:11 AM +07 UTC,1670950811,16177124,0xc94770007dda54cF92009BFF0dE90c06F603a09f,0,136500000000000
Dec-15-2022 12:00:11 AM +07 UTC,1671037211,16184287,0xddbd2b932c763ba5b1b7ae3b362eac3e8d40121a,0,40891626854930000000999
Dec-15-2022 12:00:11 AM +07 UTC,1671037211,16184287,0x742d35cc6634c0532925a3b844bc454e4438f44e,-50000006633100000000000,608938828097519607971817
Dec-15-2022 12:00:11 AM +07 UTC,1671037211,16184287,0xc94770007dda54cF92009BFF0dE90c06F603a09f,0,136500000000000
Dec-16-2022 12:00:11 AM +07 UTC,1671123611,16191446,0xddbd2b932c763ba5b1b7ae3b362eac3e8d40121a,0,40891626854930000000999
Dec-16-2022 12:00:11 AM +07 UTC,1671123611,16191446,0x742d35cc6634c0532925a3b844bc454e4438f44e,-35000001050000000000000,573938827047519607971817
Dec-16-2022 12:00:11 AM +07 UTC,1671123611,16191446,0xc94770007dda54cF92009BFF0dE90c06F603a09f,0,136500000000000
Dec-17-2022 12:00:11 AM +07 UTC,1671210011,16198611,0xddbd2b932c763ba5b1b7ae3b362eac3e8d40121a,0,40891626854930000000999
Dec-17-2022 12:00:11 AM +07 UTC,1671210011,16198611,0x742d35cc6634c0532925a3b844bc454e4438f44e,-20000001050000000000000,553938825997519607971817
Dec-17-2022 12:00:11 AM +07 UTC,1671210011,16198611,0xc94770007dda54cF92009BFF0dE90c06F603a09f,0,136500000000000
Dec-18-2022 12:00:11 AM +07 UTC,1671296411,16205769,0xddbd2b932c763ba5b1b7ae3b362eac3e8d40121a,0,40891626854930000000999
Dec-18-2022 12:00:11 AM +07 UTC,1671296411,16205769,0x742d35cc6634c0532925a3b844bc454e4438f44e,-53046316780000000000000,500892509217519607971817
Dec-18-2022 12:00:11 AM +07 UTC,1671296411,16205769,0xc94770007dda54cF92009BFF0dE90c06F603a09f,0,136500000000000
Dec-19-2022 12:00:11 AM +07 UTC,1671382811,16212932,0xddbd2b932c763ba5b1b7ae3b362eac3e8d40121a,0,40891626854930000000999
Dec-19-2022 12:00:11 AM +07 UTC,1671382811,16212932,0x742d35cc6634c0532925a3b844bc454e4438f44e,-55000001155000000000000,445892508062519607971817
Dec-19-2022 12:00:11 AM +07 UTC,1671382811,16212932,0xc94770007dda54cF92009BFF0dE90c06F603a09f,0,136500000000000
Dec-20-2022 12:00:11 AM +07 UTC,1671469211,16220095,0xddbd2b932c763ba5b1b7ae3b362eac3e8d40121a,0,40891626854930000000999
Dec-20-2022 12:00:11 AM +07 UTC,1671469211,16220095,0x742d35cc6634c0532925a3b844bc454e4438f44e,0,445892508062519607971817
Dec-20-2022 12:00:11 AM +07 UTC,1671469211,16220095,0xc94770007dda54cF92009BFF0dE90c06F603a09f,0,136500000000000
Dec-21-2022 12:00:11 AM +07 UTC,1671555611,16227261,0xddbd2b932c763ba5b1b7ae3b362eac3e8d40121a,0,40891626854930000000999
Dec-21-2022 12:00:11 AM +07 UTC,1671555611,16227261,0x742d35cc6634c0532925a3b844bc454e4438f44e,-40000000630000000000000,405892507432519607971817
Dec-21-2022 12:00:11 AM +07 UTC,1671555611,16227261,0xc94770007dda54cF92009BFF0dE90c06F603a09f,0,136500000000000
Dec-22-2022 12:00:11 AM +07 UTC,1671642011,16234429,0xddbd2b932c763ba5b1b7ae3b362eac3e8d40121a,0,40891626854930000000999
Dec-22-2022 12:00:11 AM +07 UTC,1671642011,16234429,0x742d35cc6634c0532925a3b844bc454e4438f44e,-48107224050000000000000,357785283382519607971817
Dec-22-2022 12:00:11 AM +07 UTC,1671642011,16234429,0xc94770007dda54cF92009BFF0dE90c06F603a09f,0,136500000000000
Dec-23-2022 12:00:11 AM +07 UTC,1671728411,16241596,0xddbd2b932c763ba5b1b7ae3b362eac3e8d40121a,0,40891626854930000000999
Dec-23-2022 12:00:11 AM +07 UTC,1671728411,16241596,0x742d35cc6634c0532925a3b844bc454e4438f44e,0,357785283382519607971817
Dec-23-2022 12:00:11 AM +07 UTC,1671728411,16241596,0xc94770007dda54cF92009BFF0dE90c06F603a09f,0,136500000000000
